Current,x30,x40,x50,x60,x70
0.0,-0.1432,-0.1790199999999999,0.3202,-0.69268,-0.33029
-0.5,-0.13352,-0.14287,0.28356,-0.64032,-0.30403
-1.0,-0.13295,-0.14635,0.28108,-0.641,-0.30383
-1.5,-0.13658,-0.15972,0.28333,-0.63996,-0.30294
-2.0,-0.13609,-0.14525,0.28644,-0.63575,-0.30153
-2.5,-0.13321,-0.14704,0.28527,-0.63686,-0.3036
-3.0,-0.13546,-0.14479,0.28265,-0.6397999999999999,-0.30039
-3.5,-0.13538,-0.14481,0.2862,-0.65118,-0.3014
-4.0,-0.13677,-0.14461,0.28369,-0.6404700000000001,-0.3071
-4.5,-0.13526,-0.14419,0.28108,-0.63515,-0.30392
-5.0,-0.13557,-0.14428,0.2798,-0.63903,-0.30442
-5.5,-0.13469,-0.14395,0.28276,-0.63955,-0.3024
-6.0,-0.13525,-0.14362,0.27951,-0.64067,-0.30065
-6.5,-0.13401,-0.14259,0.2815399999999999,-0.69715,-0.30321
-7.0,-0.13327,-0.14195,0.28579,-0.6341100000000001,-0.30143
-7.5,-0.1353,-0.13964,0.28067,-0.6406000000000001,-0.30051
-8.0,-0.1336699999999999,-0.13584,0.2792,-0.6388199999999999,-0.30366
-8.5,-0.13294,-0.13129,0.28775,-0.6432,-0.28828
-9.0,-0.12355,-0.12175,0.2847,-0.63565,-0.28073
-9.5,-0.095827,-0.10472,0.29732,-0.63156,-0.2618399999999999
-10.0,-0.04208,-0.05548,0.30842,-0.62188,-0.23723
-10.5,0.0069788,0.0143659999999999,0.34282,-0.59343,-0.2019
-11.0,0.054158,0.0570359999999999,0.38571,-0.5651499999999999,-0.17728
-11.5,0.095124,0.095159,0.44969,-0.51981,-0.14966
-12.0,0.12733,0.12931,0.46263,-0.49167,-0.12952
-12.5,0.15606,0.16452,0.49528,-0.45721,-0.11524
-13.0,0.18531,0.22416,0.52386,-0.4320199999999999,-0.090981
-13.5,0.23611,0.26507,0.53962,-0.3990499999999999,-0.067771
-14.0,0.25926,0.2902,0.5745,-0.36383,-0.037889
-14.5,0.29799,0.30374,0.61127,-0.33321,-0.0072662
-15.0,0.32465,0.3202699999999999,0.6462899999999999,-0.30046,0.018023
-15.5,0.35573,0.3379799999999999,0.6797200000000001,-0.27494,0.039993
-16.0,0.36373,0.34993,0.7161,-0.25437,0.056036
-16.5,0.37595,0.3586,0.74249,-0.23028,0.069995
-17.0,0.39388,0.36924,0.75496,-0.21228,0.074756
-17.5,0.4005899999999999,0.37686,0.7758499999999999,-0.19673,0.080399
-18.0,0.40283,0.3837,0.7817099999999999,-0.18107,0.0988049999999999
-18.5,0.41651,0.38621,0.8022299999999999,-0.17162,0.10108
-19.0,0.42098,0.3978699999999999,0.8159599999999999,-0.16771,0.10915
-19.5,0.4274199999999999,0.39837,0.8161900000000001,-0.15947,0.11381
-20.0,0.43325,0.40336,0.8394900000000001,-0.15606,0.1173299999999999
-20.5,0.43781,0.40169,0.84386,-0.14904,0.12069
-21.0,0.4396,0.4032,0.8409,-0.13716,0.1220899999999999
-21.5,0.44351,0.40385,0.8383,-0.13611,0.1233
-22.0,0.4380799999999999,0.40466,0.84605,-0.13096,0.1221599999999999
-22.5,0.44005,0.40551,0.83625,-0.12859,0.12741
-23.0,0.43666,0.40649,0.84398,-0.123988,0.12588
-23.5,0.44146,0.41312,0.8442599999999999,-0.12053,0.12561
-24.0,0.43914,0.40179,0.84135,-0.1202,0.12432
-24.5,0.4401,0.40896,0.8446899999999999,-0.12013,0.12889
-25.0,0.4442,0.4040499999999999,0.8428399999999999,-0.12124,0.12876
-25.5,0.44208,0.4063,0.84181,-0.1221,0.12849
-26.0,0.4498499999999999,0.4112499999999999,0.85441,-0.1223799999999999,0.13478
-26.5,0.4460499999999999,0.40878,0.84316,-0.12064,0.13225
-27.0,0.44632,0.40919,0.86397,-0.12138,0.13449
-27.5,0.4531,0.41226,0.84497,-0.12194,0.13887
-28.0,0.4496,0.41083,0.85498,-0.12037,0.13751
-28.5,0.4603299999999999,0.40822,0.87434,-0.12046,0.14206
-29.0,0.46357,0.41065,0.87095,-0.12086,0.14293
-29.5,0.4617,0.41422,0.86816,-0.12092,0.14808
-30.0,0.46284,0.41452,0.87458,-0.11875,0.14897
,-0.1432,-0.1790199999999999,0.2792,-0.69715,-0.33029
,0.46357,0.41452,0.87458,-0.11875,0.14897
,0.60677,0.59354,0.59538,0.5784,0.4792599999999999
,0.0709347999999999,,,,0.462868
